Value.CurrentRepetition,Value.ElapsedTime,Value.LostFocusTime,Value.Mode,Value.PatientID,Value.Repetitions,Value.Time,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
,6056,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,0.00021608720999211073,1.0756906270980835,0.5160115361213684
,6139,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.2935032844543457,0.8510011434555054,0.3895605802536011
,6139,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,-0.010567030869424343,1.0746572017669678,0.5146312117576599
,6223,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.2927638590335846,0.850806713104248,0.3896687626838684
,6223,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,-0.02094445936381817,1.0744298696517944,0.5133565068244934
,6307,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.29226359724998474,0.8507933020591736,0.3894766867160797
,6307,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,-0.030395446345210075,1.0740317106246948,0.5125674605369568
,6390,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.2917764186859131,0.8507543802261353,0.38915857672691345
,6390,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,-0.039292845875024796,1.073852777481079,0.5115134716033936
,6472,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.2910901606082916,0.8505522012710571,0.38921019434928894
,6472,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,-0.0484943725168705,1.0728635787963867,0.5102676749229431
,6555,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.29072636365890503,0.8504493236541748,0.38943642377853394
,6555,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,-0.057553794234991074,1.0739600658416748,0.5089715719223022
,6639,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.2905571758747101,0.8504780530929565,0.38942137360572815
,6639,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,-0.06538902223110199,1.075235366821289,0.5083360075950623
,6723,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.28993117809295654,0.851897656917572,0.38870665431022644
,6723,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,-0.0721326693892479,1.075857162475586,0.5081443786621094
,6806,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,LeftControllerPosition,-0.28970685601234436,0.8524150252342224,0.3885347545146942
,6806,,,,,7/29/2022 3:54:30 PM,FingerFollowData,,,RightControllerPosition,-0.08069580048322678,1.0751292705535889,0.5073773264884949
,6889,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.2892880141735077,0.8526643514633179,0.38824549317359924
,6889,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.0885678380727768,1.075065016746521,0.5072667002677917
,6972,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.28921225666999817,0.8530941009521484,0.38788875937461853
,6972,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.09563184529542923,1.0747168064117432,0.5075844526290894
,7056,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.28903281688690186,0.853151798248291,0.387784868478775
,7056,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.10295473039150238,1.0745869874954224,0.507581353187561
,7140,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.2888149619102478,0.8532087802886963,0.38760560750961304
,7140,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.11127423495054245,1.0737123489379883,0.5070452690124512
,7223,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.28893396258354187,0.8532623052597046,0.38746917247772217
,7223,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.1173846647143364,1.0739277601242065,0.5067994594573975
,7307,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.28895092010498047,0.8532457947731018,0.38735923171043396
,7307,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.12412790954113007,1.074896216392517,0.5063763856887817
,7390,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.2887764275074005,0.8531184792518616,0.3873172104358673
,7390,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.13129128515720367,1.0744415521621704,0.5065673589706421
,7473,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.28878599405288696,0.8530768156051636,0.38742971420288086
,7473,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.14012204110622406,1.0734633207321167,0.506222128868103
,7557,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.2885682284832001,0.8527612090110779,0.3873837888240814
,7557,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.15009965002536774,1.0723822116851807,0.5065728425979614
,7641,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.28861555457115173,0.8525907397270203,0.38740479946136475
,7641,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.15868929028511047,1.0715653896331787,0.5068643689155579
,7724,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,LeftControllerPosition,-0.28859779238700867,0.8525010943412781,0.38744646310806274
,7724,,,,,7/29/2022 3:54:31 PM,FingerFollowData,,,RightControllerPosition,-0.16765837371349335,1.0688594579696655,0.5071247816085815
